# Date:     2025-09-16 18:17:56
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-0032	12	04:41:45.25	-69:44:30.7	16.309	16.961	0.652	1.0616577	0.0000083	6000.01238	0.140	0.141	3.866	0.056	1.956	-99.99	LMC150.3.7156	LMC538.19.11226	-99.99	
OGLE-LMC-CEP-0033	F	04:41:57.93	-69:26:00.8	14.386	15.216	0.830	7.1807603	0.0000289	6002.62615	0.496	0.338	5.370	0.211	3.683	-99.99	LMC149.1.7417	LMC538.27.9880	-99.99	
OGLE-LMC-CEP-0034	F	04:42:01.91	-70:38:49.0	13.751	14.673	0.922	11.2552749	0.0000646	6007.28824	0.488	0.167	4.749	0.103	5.208	-99.99	LMC144.8.8	LMC537.26.6947	HV12716	
OGLE-LMC-CEP-0035	F	04:42:06.31	-67:58:11.6	14.376	15.154	0.778	6.9435423	0.0000256	6005.25522	0.403	0.353	5.345	0.142	3.793	-99.99	LMC147.6.4793	LMC540.04.14	-99.99	
OGLE-LMC-CEP-0036	F1	04:42:11.79	-70:14:02.0	16.446	-99.99	-99.99	1.5738216	0.0000077	6000.28193	0.228	0.473	1.693	0.467	4.640	-99.99	LMC144.5.65	LMC538.02.1949D	-99.99	
OGLE-LMC-CEP-0037	F	04:42:14.88	-68:26:10.6	15.512	16.294	0.782	3.0669100	0.0000094	6002.25863	0.273	0.345	4.553	0.131	2.865	-99.99	LMC148.4.36	LMC539.20.9464	-99.99	
OGLE-LMC-CEP-0038	1	04:42:15.88	-69:13:01.4	14.977	15.654	0.677	2.7551416	0.0000109	6000.22656	0.252	0.064	4.113	0.026	5.359	-99.99	LMC149.3.7710	LMC539.03.34	-99.99	
OGLE-LMC-CEP-0039	F	04:42:38.01	-68:30:59.3	15.395	16.059	0.664	3.1477882	0.0000075	6002.07933	0.348	0.397	4.549	0.188	2.824	-99.99	LMC148.3.83	LMC539.20.9453	-99.99	
OGLE-LMC-CEP-0040	F	04:42:47.26	-69:49:00.5	14.670	15.413	0.743	5.1651068	0.0000088	6004.55294	0.577	0.435	4.622	0.201	2.992	-99.99	LMC143.6.11	LMC538.19.29	HV12715	
OGLE-LMC-CEP-0041	F	04:42:53.74	-67:25:59.8	15.530	16.253	0.723	2.9106644	0.0000173	6002.12866	0.179	0.225	4.362	0.051	2.233	-99.99	LMC146.6.3894	LMC540.21.44	-99.99	
OGLE-LMC-CEP-0042	F	04:43:01.62	-70:10:01.6	15.667	16.360	0.693	2.5770257	0.0000037	6002.33638	0.631	0.476	4.366	0.259	2.557	-99.99	LMC144.5.6906	LMC538.10.73	-99.99	
OGLE-LMC-CEP-0043	1	04:43:03.84	-68:51:24.6	14.823	15.492	0.669	3.1488086	0.0000196	6002.03322	0.233	0.115	3.500	0.059	0.217	-99.99	LMC148.1.7258	LMC539.11.23	-99.99	
OGLE-LMC-CEP-0044	F	04:43:10.48	-67:14:00.9	14.925	15.522	0.597	4.0357552	0.0000075	6003.70515	0.618	0.439	4.450	0.225	2.650	-99.99	LMC146.4.20	LMC540.21.4846	HV12712	
OGLE-LMC-CEP-0045	F	04:43:10.74	-67:16:58.0	16.146	16.834	0.688	1.8669280	0.0000027	6001.52638	0.497	0.473	4.381	0.283	2.625	-99.99	LMC146.4.51	LMC540.21.4866	-99.99	
OGLE-LMC-CEP-0046	F	04:43:20.86	-69:13:47.9	13.948	14.745	0.797	8.8436041	0.0000500	6006.17876	0.502	0.226	5.148	0.181	3.874	-99.99	LMC142.6.4	LMC539.02.15	HV12717	
OGLE-LMC-CEP-0047	1	04:43:25.62	-69:53:49.4	15.273	15.904	0.631	2.0713571	0.0000045	6001.58053	0.286	0.200	4.582	0.030	3.260	-99.99	LMC143.7.37	LMC538.18.39	-99.99	
OGLE-LMC-CEP-0048	F	04:43:31.45	-69:37:28.9	14.465	15.157	0.692	5.5482140	0.0000132	6002.79336	0.552	0.415	4.601	0.171	2.807	-99.99	LMC143.5.14	LMC538.18.12137	U2	
OGLE-LMC-CEP-0049	F	04:43:35.57	-70:41:46.6	15.316	16.192	0.876	3.8491608	0.0000136	6002.77336	0.229	0.231	4.543	0.062	2.743	-99.99	LMC144.8.5522	LMC530.16.34	-99.99	
OGLE-LMC-CEP-0050	F	04:43:40.32	-69:34:14.2	14.195	15.021	0.826	7.8454429	0.0000283	6005.48757	0.467	0.367	5.342	0.184	3.578	-99.99	LMC143.5.16	LMC538.26.8	HV12976	
OGLE-LMC-CEP-0051	1	04:43:44.16	-70:18:14.7	15.566	16.231	0.665	1.7544645	0.0000024	6001.60060	0.297	0.232	4.342	0.049	2.768	-99.99	LMC144.6.6708	LMC530.25.6370	-99.99	
OGLE-LMC-CEP-0052	1	04:43:54.21	-68:49:14.9	15.118	15.755	0.637	2.3856460	0.0000076	6001.65817	0.209	0.105	4.592	0.000	-99.99	-99.99	LMC148.1.7277	LMC539.10.10088	-99.99	
OGLE-LMC-CEP-0053	F	04:44:04.82	-69:50:29.1	15.685	16.412	0.727	2.6338747	0.0000023	6001.37846	0.694	0.502	4.332	0.373	2.514	-99.99	LMC143.7.8221	LMC538.18.52	-99.99	
OGLE-LMC-CEP-0054	1	04:44:06.11	-70:05:43.8	15.197	15.888	0.691	2.2765684	0.0000079	6000.40871	0.171	0.092	4.651	0.023	3.836	-99.99	LMC143.8.7613	LMC538.09.42	-99.99	
OGLE-LMC-CEP-0055	F	04:44:34.07	-67:04:21.5	15.452	16.098	0.646	2.8620681	0.0000027	6002.29255	0.558	0.485	4.483	0.271	2.711	-99.99	LMC145.1.19	LMC540.28.28	-99.99	
OGLE-LMC-CEP-0056	F	04:44:47.04	-70:13:51.0	15.355	16.256	0.901	3.6670371	0.0000230	6002.36330	0.412	0.417	4.628	0.207	3.101	-99.99	LMC144.4.17	LMC530.24.2581D	-99.99	
OGLE-LMC-CEP-0057	F	04:44:52.68	-69:01:59.5	13.886	14.799	0.913	10.3067803	0.0000776	6005.48867	0.318	0.234	6.023	0.102	5.040	-99.99	LMC142.5.10066	LMC531.25.20439	LMV1525 HV12719	
OGLE-LMC-CEP-0058	F	04:44:53.35	-69:11:29.7	14.977	15.730	0.753	4.3155685	0.0000058	6001.56383	0.603	0.450	4.606	0.225	3.002	-99.99	LMC142.6.10925	LMC531.25.14490	HV12720	
OGLE-LMC-CEP-0059	F	04:44:54.90	-68:38:21.7	15.011	15.815	0.804	4.3903931	0.0000083	6004.34899	0.472	0.432	4.772	0.204	3.294	-99.99	LMC141.6.36	-99.99	-99.99	
OGLE-LMC-CEP-0060	F	04:44:59.58	-69:49:55.7	15.417	16.199	0.782	3.4064849	0.0000072	6000.57849	0.523	0.454	4.588	0.248	2.934	-99.99	LMC143.6.9591	LMC538.17.55	-99.99	
OGLE-LMC-CEP-0061	12	04:45:00.78	-68:07:01.3	16.660	17.290	0.630	0.8685818	0.0000021	6000.65029	0.272	0.271	3.937	0.099	2.034	-99.99	LMC147.2.8271	LMC539.26.11173	-99.99	
OGLE-LMC-CEP-0062	1	04:45:13.64	-68:54:51.8	15.089	15.888	0.799	2.1530915	0.0000075	6000.63165	0.227	0.154	4.663	0.022	3.565	-99.99	LMC141.8.51	LMC539.09.42	-99.99	
OGLE-LMC-CEP-0063	F	04:45:18.63	-69:16:38.6	-99.99	13.630	-99.99	21.0677110	0.0040892	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	LMC142.7.13456	-99.99	-99.99	
OGLE-LMC-CEP-0064	F	04:45:29.34	-69:08:49.4	15.295	15.987	0.692	3.2291389	0.0000063	6001.30270	0.545	0.442	4.407	0.233	2.602	-99.99	LMC142.6.10941	LMC531.25.5674	HV12722	
OGLE-LMC-CEP-0065	1	04:45:29.37	-68:19:16.3	18.198	18.930	0.732	0.3382917	0.0000013	6000.00296	0.112	0.104	-99.99	0.000	-99.99	-99.99	LMC140.8.440	LMC539.26.425	-99.99	
OGLE-LMC-CEP-0066	1	04:45:34.18	-69:53:54.0	15.735	16.519	0.784	1.9492243	0.0000097	6001.78214	0.156	0.122	5.102	0.000	-99.99	-99.99	LMC143.7.8276	LMC538.17.31	-99.99	
OGLE-LMC-CEP-0067	F	04:45:34.62	-70:22:15.1	15.327	16.111	0.784	3.4854335	0.0000044	6003.23717	0.487	0.416	4.558	0.218	2.881	-99.99	LMC144.3.36	LMC530.24.6900	HV12723	
OGLE-LMC-CEP-0068	F	04:45:37.19	-70:15:03.7	12.748	13.584	0.836	28.3738735	0.0003703	6005.00515	0.761	0.407	5.057	0.302	3.804	-99.99	-99.99	LMC530.24.6894	HV8036	
OGLE-LMC-CEP-0069	1	04:45:38.69	-68:39:06.3	15.651	16.349	0.698	1.8070072	0.0000106	6000.19639	0.130	0.109	4.830	0.000	-99.99	-99.99	LMC141.6.120	LMC539.18.35	-99.99	
OGLE-LMC-CEP-0070	F	04:46:01.08	-69:38:55.8	13.754	14.766	1.012	13.7462846	0.0000794	6011.02012	0.470	0.100	4.533	0.151	1.596	-99.99	LMC143.4.5	LMC538.17.12700	HV12724	
OGLE-LMC-CEP-0071	1	04:46:06.32	-68:46:31.8	15.962	16.584	0.622	1.3858956	0.0000023	6001.30287	0.304	0.185	4.236	0.052	3.049	-99.99	LMC141.7.9526	LMC539.09.10977	-99.99	
OGLE-LMC-CEP-0072	F	04:46:32.83	-68:44:57.6	15.565	16.253	0.688	2.3366463	0.0000121	6000.01759	0.290	0.218	4.041	0.068	1.118	-99.99	LMC141.7.9491	LMC531.32.15873	-99.99	
OGLE-LMC-CEP-0073	12	04:46:38.50	-67:08:43.9	16.785	-99.99	-99.99	0.8371477	0.0000014	6000.61249	0.242	0.405	4.629	0.318	1.834	-99.99	LMC145.1.4777	LMC540.26.439D	-99.99	
OGLE-LMC-CEP-0074	1	04:46:38.51	-66:57:48.7	15.422	16.008	0.586	1.7931230	0.0000048	6000.97707	0.254	0.189	4.417	0.024	2.432	-99.99	LMC145.2.4580	LMC540.26.6184	-99.99	
OGLE-LMC-CEP-0075	F	04:46:39.11	-70:15:57.6	15.342	16.121	0.779	3.4187485	0.0000029	6003.10255	0.590	0.443	4.491	0.258	2.740	-99.99	LMC144.4.7996	LMC530.23.7467	-99.99	
OGLE-LMC-CEP-0076	F	04:46:47.93	-69:05:43.1	15.033	15.904	0.871	5.1478925	0.0000225	6000.45137	0.232	0.277	4.977	0.047	3.799	-99.99	LMC142.4.37	LMC531.24.19791	-99.99	
OGLE-LMC-CEP-0077	1	04:46:56.51	-68:07:42.8	14.954	15.657	0.703	2.9660163	0.0000140	6000.14821	0.215	0.076	3.442	0.039	0.012	-99.99	LMC140.7.8874	LMC532.16.11955	-99.99	
OGLE-LMC-CEP-0078	F	04:47:00.98	-70:05:52.5	14.316	15.172	0.856	7.3826504	0.0000224	6001.86552	0.469	0.361	5.300	0.175	3.524	-99.99	LMC143.1.14	LMC530.31.12086	-99.99	
OGLE-LMC-CEP-0079	F	04:47:06.88	-69:17:39.5	13.103	14.132	1.029	22.5437817	0.0002185	6001.56476	0.663	0.306	5.036	0.192	3.311	-99.99	-99.99	LMC531.24.889D	U1	
OGLE-LMC-CEP-0080	1	04:47:11.09	-67:40:02.8	14.870	15.612	0.742	3.4203322	0.0000194	6001.42402	0.221	0.180	4.102	0.080	1.320	-99.99	LMC139.8.44	LMC540.09.23	-99.99	
OGLE-LMC-CEP-0081	12	04:47:13.41	-66:39:01.5	17.105	17.632	0.527	0.5360222	0.0000006	6000.04193	0.240	0.174	2.226	0.224	0.310	-99.99	LMC138.5.110	LMC541.02.5674	-99.99	
OGLE-LMC-CEP-0082	1	04:47:14.87	-69:59:47.4	14.153	14.861	0.708	4.9307350	0.0000530	6001.27154	0.080	0.122	4.378	0.000	-99.99	-99.99	LMC143.1.16	LMC530.31.5262	-99.99	
OGLE-LMC-CEP-0083	F1	04:47:16.27	-69:51:01.8	17.594	18.215	0.621	0.5805540	0.0000048	6000.20608	0.081	0.183	4.802	0.000	-99.99	-99.99	LMC143.2.687	LMC531.07.267	-99.99	
OGLE-LMC-CEP-0084	1	04:47:20.05	-69:29:12.9	14.745	15.502	0.757	3.4993228	0.0000178	6003.30599	0.195	0.105	3.502	0.053	0.252	-99.99	LMC142.1.17	LMC531.15.2911	-99.99	
OGLE-LMC-CEP-0085	1	04:47:20.06	-69:56:42.0	14.851	15.559	0.708	3.0301025	0.0000136	6000.64399	0.231	0.069	3.541	0.050	6.150	-99.99	LMC143.2.50	LMC530.31.8013	-99.99	
OGLE-LMC-CEP-0086	1	04:47:22.81	-69:26:10.1	15.490	16.181	0.691	2.0407738	0.0000066	6000.57315	0.225	0.111	4.984	0.022	4.584	-99.99	LMC142.1.61	LMC531.15.6891	-99.99	secondary period 1.270830 d
OGLE-LMC-CEP-0087	F	04:47:24.15	-69:43:19.1	15.213	15.955	0.742	3.5902086	0.0000039	6002.84126	0.636	0.479	4.476	0.290	2.721	-99.99	LMC143.3.54	LMC531.07.13234	HV12447	
OGLE-LMC-CEP-0088	1	04:47:31.00	-69:30:47.9	15.362	15.997	0.635	2.0454940	0.0000057	6001.83162	0.183	0.098	4.688	0.000	-99.99	-99.99	LMC142.1.63	LMC531.15.2919	-99.99	
OGLE-LMC-CEP-0089	F	04:47:31.08	-68:55:28.7	15.194	15.991	0.797	4.6938588	0.0000172	6003.35310	0.323	0.321	4.864	0.091	3.285	-99.99	LMC141.1.24	LMC531.32.14	-99.99	
OGLE-LMC-CEP-0090	F	04:47:44.73	-70:12:07.2	15.132	15.867	0.735	4.0004649	0.0000067	6001.16894	0.679	0.512	4.709	0.275	3.255	-99.99	LMC144.4.8021	LMC530.31.8	-99.99	
OGLE-LMC-CEP-0091	F	04:47:46.14	-68:19:49.5	15.349	16.123	0.774	3.5989553	0.0000065	6001.68942	0.439	0.424	4.623	0.214	2.992	-99.99	LMC140.8.9933	LMC532.16.42	-99.99	
OGLE-LMC-CEP-0092	1	04:47:47.57	-67:51:57.9	15.618	16.184	0.566	1.6208589	0.0000037	6001.57659	0.205	0.134	4.784	0.000	-99.99	-99.99	LMC140.5.8550	LMC532.25.10822	-99.99	
OGLE-LMC-CEP-0093	1	04:47:57.81	-70:19:33.5	15.571	16.366	0.795	2.1697478	0.0000094	6000.63539	0.184	0.112	5.169	0.029	4.535	-99.99	LMC144.3.8029	LMC530.23.7497	-99.99	secondary period 1.353821 d
OGLE-LMC-CEP-0094	F	04:48:00.90	-69:19:14.8	16.009	-99.99	-99.99	3.2127688	0.0000334	6002.91601	0.321	0.376	4.621	0.166	2.958	-99.99	LMC142.2.231	LMC531.14.4803D	-99.99	
OGLE-LMC-CEP-0095	F	04:48:01.97	-67:48:29.3	15.476	16.159	0.683	2.7749337	0.0000045	6002.18484	0.456	0.471	4.443	0.252	2.714	-99.99	LMC140.5.8556	LMC540.01.9387	-99.99	
OGLE-LMC-CEP-0096	1	04:48:04.35	-69:18:25.9	14.550	15.324	0.774	4.3379802	0.0000538	6004.21179	0.152	0.153	4.047	0.036	1.201	-99.99	LMC142.2.59	LMC531.14.29341	-99.99	
OGLE-LMC-CEP-0097	1	04:48:26.72	-67:32:47.1	14.399	15.128	0.729	3.9934311	0.0000271	6003.81121	0.220	0.170	3.893	0.089	1.144	-99.99	LMC139.7.6955	LMC532.32.10252	-99.99	
OGLE-LMC-CEP-0098	1	04:48:29.07	-70:28:43.3	16.661	17.368	0.707	1.0012480	0.0000019	6000.46851	0.203	0.224	4.017	0.058	1.675	-99.99	LMC137.7.176	LMC530.22.172	-99.99	
OGLE-LMC-CEP-0099	1	04:48:30.90	-68:33:43.0	16.360	17.026	0.666	1.0930677	0.0000018	6001.00822	0.182	0.179	4.045	0.046	1.728	-99.99	LMC141.3.149	LMC532.07.15677	-99.99	
OGLE-LMC-CEP-0100	F	04:48:34.21	-70:10:16.3	15.455	16.198	0.743	3.2094086	0.0000038	6002.83445	0.511	0.419	4.506	0.224	2.760	-99.99	LMC137.5.30	LMC530.30.12408	HV12462	
OGLE-LMC-CEP-0101	F	04:48:34.23	-69:20:50.2	14.692	15.778	1.086	8.1924377	0.0003007	6007.89956	0.042	0.066	6.068	0.000	-99.99	-99.99	LMC142.2.18242	LMC531.14.29333	-99.99	
OGLE-LMC-CEP-0102	2	04:48:34.64	-67:31:47.4	16.126	16.706	0.580	0.8399510	0.0000041	6000.36582	0.051	0.000	-99.99	0.000	-99.99	-99.99	LMC139.7.7042	LMC532.32.10320	-99.99	
OGLE-LMC-CEP-0103	F	04:48:35.61	-67:35:00.0	13.988	14.675	0.687	7.1572780	0.0000251	6003.03526	0.396	0.287	4.735	0.092	2.690	-99.99	LMC139.7.6957	LMC532.32.10247	HV12727	
OGLE-LMC-CEP-0104	F	04:48:45.64	-70:00:21.3	15.434	16.175	0.741	3.1095464	0.0000035	6001.42476	0.484	0.433	4.501	0.228	2.767	-99.99	LMC143.1.9819	LMC530.30.17698	DV2	
OGLE-LMC-CEP-0105	F	04:48:48.89	-66:44:02.1	14.944	15.718	0.774	4.7407405	0.0000121	6003.00582	0.458	0.435	4.873	0.186	3.487	-99.99	LMC138.6.5508	LMC533.25.43	HV12728	
OGLE-LMC-CEP-0106	F	04:48:50.61	-70:14:53.2	15.439	16.222	0.783	3.2675038	0.0000084	6001.97906	0.466	0.451	4.534	0.249	2.869	-99.99	LMC137.5.35	LMC530.22.8863	-99.99	
OGLE-LMC-CEP-0107	F	04:48:51.35	-69:21:22.8	13.947	14.761	0.814	8.7388601	0.0000420	6001.45703	0.505	0.284	5.219	0.211	3.515	-99.99	LMC142.2.18253	LMC531.14.29326	HV12452	
OGLE-LMC-CEP-0108	F	04:48:56.11	-68:54:06.7	15.250	15.989	0.739	3.7476000	0.0000128	6000.26664	0.261	0.343	4.603	0.128	3.003	-99.99	LMC141.1.63	LMC531.31.18567	-99.99	
OGLE-LMC-CEP-0109	F	04:48:56.62	-68:57:12.7	15.823	16.657	0.834	2.8533700	0.0000034	6001.90097	0.654	0.501	4.467	0.297	2.676	-99.99	LMC142.4.13987	LMC531.31.26	-99.99	
OGLE-LMC-CEP-0110	1	04:48:58.97	-70:04:20.0	14.789	15.633	0.844	2.1200666	0.0000099	6000.36792	0.146	0.138	4.194	0.000	-99.99	-99.99	LMC143.1.9739	LMC530.30.14937	-99.99	
OGLE-LMC-CEP-0111	F	04:49:04.15	-69:18:02.4	16.284	16.970	0.686	1.6128624	0.0000019	6000.55044	0.622	0.484	4.191	0.307	2.243	-99.99	LMC142.2.18427	LMC531.23.25	-99.99	
OGLE-LMC-CEP-0112	F1	04:49:10.16	-67:51:53.3	16.208	16.925	0.717	1.8946075	0.0000113	6000.93586	0.151	0.162	4.535	0.032	2.493	-99.99	LMC140.4.150	LMC532.24.6101	-99.99	
OGLE-LMC-CEP-0113	1	04:49:11.22	-68:54:29.4	15.800	16.571	0.771	1.8383406	0.0000055	6000.79286	0.162	0.145	4.966	0.041	4.557	-99.99	LMC141.1.12885	LMC531.31.3629	-99.99	
OGLE-LMC-CEP-0114	F	04:49:12.46	-69:09:39.7	13.792	14.592	0.800	10.3719990	0.0000699	6009.14841	0.355	0.155	4.819	0.079	4.460	-99.99	LMC142.3.14395	LMC531.23.4174	LMV1311 HV12451	
OGLE-LMC-CEP-0115	1	04:49:13.04	-70:09:20.4	15.191	15.873	0.682	2.5151341	0.0000104	6001.80511	0.172	0.042	4.868	0.000	-99.99	-99.99	LMC137.5.50	LMC530.30.7	-99.99	
OGLE-LMC-CEP-0116	F	04:49:13.37	-70:08:59.8	15.353	16.116	0.763	3.4150618	0.0000048	6000.96001	0.473	0.474	4.569	0.257	2.953	-99.99	LMC137.5.51	LMC530.30.9	HV12470	
OGLE-LMC-CEP-0117	1	04:49:15.87	-68:07:59.2	15.465	16.070	0.605	1.8851485	0.0000041	6000.50563	0.293	0.172	4.651	0.024	4.228	-99.99	LMC140.2.46	LMC532.15.9508	-99.99	
OGLE-LMC-CEP-0118	1	04:49:16.20	-69:20:19.4	15.711	16.513	0.802	1.9988680	0.0000068	6000.42010	0.186	0.143	4.951	0.015	5.258	-99.99	LMC142.2.18330	LMC531.14.12871	-99.99	
OGLE-LMC-CEP-0119	1	04:49:16.98	-69:12:24.9	15.508	16.326	0.818	2.2091215	0.0000083	6001.61370	0.165	0.150	4.897	0.024	4.603	-99.99	LMC142.3.14460	LMC531.23.4186	-99.99	
